ID,Test Name,Year,Session,Subject,Number,Question,image,law,Option 1,Option 2,Option 3,Option 4,Answer
11.0,산업위생관리기사,2005.0,1,산업위생학개론,8.0,산업위생의 기본적인 과제를 가장 알맞게 표현한 것은?,text_only,,작업환경에 의한 정신적 영향과 적합한 환경의 연구,작업능력의 신장과 저하에 따른 작업조건의 연구,작업장에서 배출된 유해물질이 대기오염에 미치는 영향,노동력 재생산과 사회심리적 조건에 관한 연구,2.0
12.0,산업위생관리기사,2005.0,2,산업위생학개론,13.0,"산업위생전문가가 근로자에 대한 책임, 기업주와 고객에 대한 책임, 일반대중에 대한 책임, 전문가로서의 책임을 가지고 지켜야하는 윤리강령중 기업주와 고객에 대한 책임과 관계된 윤리강령으로 가장 알맞는 것은? (단, 미국산업위생학술원 윤리강령 기준)",text_only,,"근로자, 사회 및 전문직종의 이익을 위해 과학적 지식을 공개하고 발표한다.","결과와 결론을 뒷받침할 수 있도록 기록을 유지하고 산업위생사업을 전문가 답게 운영, 관리한다.",전문가 판단이 타협에 의하여 좌우될 수 있는 상황에는 개입하지 않는다.,기업체의 기밀을 누설하지 않는다.,2.0
13.0,산업위생관리기사,2006.0,1,산업위생학개론,11.0,산업재해지표중 '천인율'이 가장 높은 업종은?,text_only,,제조업,건설업,운수업,광업,4.0
14.0,산업위생관리기사,2006.0,1,산업위생학개론,16.0,일반적으로 오차는 계통오차와 우발오차로 구분된다. 계통오차에 관한 내용으로 틀린 것은?,text_only,,측정기 또는 분석기기의 미비로 기인되는 오차이다.,오차가 작을 때는 정밀하다고 한다.,크기와 부호를 추정할 수 있고 보정할 수 있다.,"종류는 외계오차, 기계오차, 개인오차가 있다.",2.0
15.0,산업위생관리기사,2006.0,2,산업위생학개론,4.0,"근로자로부터 35cm로 떨어진 물체(10kg)를 바닥으로부터 120cm 들어올리는 작업을 1분에 6회씩 1일 8시간 실시할 때 MPL은? (단, 박스의 손잡이는 양호하며 계산공식은 다음과 같다. $AL=40(15/H)(1-0.004 |V-751|)$, $(0.7+(7.5+D))(1-(F/Fmax))$, Fmax는 122회/min이다.)",text_only,,13.7kg,15.7kg,17.7kg,19.7kg,1.0
16.0,산업위생관리기사,2016.0,3,산업위생학개론,6.0,중등작업에 관한 내용 중 알맞지 않은 것은?,text_only,,실동률(%) : 80-70,총작업시간중 대사율(%) : 50-70,주작업의 작업대사율 : 1-2,"총작업시간중 소비열량(kcal, 남자) : 920-1250",2.0
17.0,산업위생관리기사,2007.0,1,산업위생학개론,13.0,"산업재해손실의 평가에 있어서 하인리히 방식기준으로 직접비와 간접비의 비율은 어느 정도로 나타나는가? (단, 직접비 : 간접비로 표현한다.)",text_only,,1:02,1:04,1:08,1:16,2.0
18.0,산업위생관리기사,2007.0,1,산업위생학개론,19.0,미국산업위생학술원(AAIH)에서 채택한 산업위생전문가의 윤리강령 중 전문가로서의 책임과 가장 거리가 먼 것은?,text_only,,일반 대중에 관한 사항은 학술지에 발표한다.,기업체의 기밀은 누설하지 않는다.,과학적 방법의 적용과 자료의 해석에서 객관성을 유지한다.,전문분야로서의 산업위생을 학문적으로 발전시킨다.,1.0
19.0,산업위생관리기사,2007.0,2,산업위생학개론,12.0,다음 중 산업안전보건위원회의 구성에 관한 내용으로 틀린 것은?,text_only,,상시 근로자 100인 이상 사업장에 설치한다.,근로자측과 사용자측이 동일한 수로 구성한다.,"안전관리자는 사용자측, 보건관리자는 근로자측 위원으로 구성된다.",보건관리자가 선임되지 않은 경우에는 대행기관의 당해 사업장 담당자가 구성원이 된다.,3.0
20.0,산업위생관리기사,2007.0,3,산업위생학개론,15.0,다음 중 요통발생에 관여하는 요인을 가장 올바르게 설명한 것은?,text_only,,물체와 몸의 거리가 멀 경우 지렛대의 역할을 하는 L2/S2 디스크에 많은 부담을 주게 된다.,일반적으로 요통은 장기간 반복하여 무리한 동작을 할 때 보다 한번의 과격한 충격에 의하여 발생하는 경우가 많다.,"버스 운전기사, 이용사, 미용사 등의 작업인에게서 요통이 많이 발생하는 것은 부적절한 자세에 기인한다.",가벼운 물체의 경우 어떠한 작업방법을 선택하여도 무리가 가지 않는다.,3.0
21.0,산업위생관리기사,2008.0,1,산업위생학개론,4.0,"산소소비량 1L를 에너지량, 즉 작업대사량으로 환산하면 약 몇 kcal 인가?",text_only,,5,10,15,20,1.0
22.0,산업위생관리기사,2008.0,1,산업위생학개론,14.0,다음 중 직업성 질환의 발생 요인과 관련 직종이 잘못 연결된 것은?,text_only,,한냉 - 제빙,크롬 - 도금,조명부족 - 의사,유기용제 - 인쇄,3.0
23.0,산업위생관리기사,2008.0,2,산업위생학개론,1.0,"작업대사율(RMR)이 6인 작업에서의 실동율(實動率)은 얼마인가? (단, 사이또와 오시마의 식을 적용한다.)",text_only,,45%,55%,65%,75%,2.0
24.0,산업위생관리기사,2008.0,3,산업위생학개론,13.0,300명이 근무하는 A작업장에서 연간 55건의 재해발생으로 60명의 사상자가 발생하였다. 이 사업장의 연간 근로시간수가 700000시간이었다면 도수율은 약 얼마인가?,text_only,,32.5,71.4,78.6,85.7,3.0
25.0,산업위생관리기사,2009.0,1,산업위생학개론,7.0,산업안전보건법상 사업주는 몇 kg 이상의 중량을 들어올리는 작업에 근로자를 종사하도록 할 때 다음과 같은 조치를 취하여야 하는가?\n\n- 주로 취급하는 물품에 대하여 근로자가 쉽게 알 수 있도록 물품의 중량과 무게 중심에 대하여 작업지점에 안내표시 할 것\n- 취급하기 곤란한 물품에 대하여 손잡이를 붙이거나 갈고리 등 적절한 부조도구를 활용할 것,text_only,O,3kg,5kg,10kg,15kg,2.0
26.0,산업위생관리기사,2009.0,1,산업위생학개론,13.0,일반적으로 오차는 계통오차와 우발오차로 구분되는데 다음 중 계통오차에 관한 내용으로 틀린 것은?,text_only,,측정기 또는 분석기기의 미비로 기인되는 오차이다.,계통오차가 작을 때는 정밀하다고 말한다.,크기와 부호를 추정할 수 있고 보정할 수 있다.,"계통오차의 종류로는 외계오차, 기계오차, 개인오차가 있다.",2.0
27.0,산업위생관리기사,2009.0,2,산업위생학개론,19.0,다음 중 작업자의 최대작업역을 올바르게 설명한 것은?,text_only,,윗팔과 아래팔을 뻗어 도달하는 최대 범위,"윗팔과 아래팔을 상, 하로 이동할 때 닿는 최대범위","상체를 좌, 우로 이동하여 최대한 닿을 수 있는 범위",위팔을 상체에 붙인 채 아래팔과 손을 조작할 수 있는 범위,1.0
28.0,산업위생관리기사,2009.0,3,산업위생학개론,14.0,18세기 영국의 Percivall Pott에 의해 보고된 최초의 직업성 암의 원인물질로 옳은 것은?,text_only,,검댕(soot),수은(mercury),아연(zinc),납(lead),1.0
29.0,산업위생관리기사,2011.0,1,산업위생학개론,2.0,다음 중 직업성 암으로 최초 보고된 음낭암의 원인물질에 해당하는 것은?,text_only,,검댕(soot),납(lead),수은(mercury),카드뮴(cadmium),1.0
30.0,산업위생관리기사,2010.0,1,산업위생학개론,18.0,"상시근로자수가 40명인 A 사업장에서 연간 4일 이상의 휴업재해가 15건이 발생하였다면 이 사업장의 도수율은 약 얼마인가? (단, 근로자는 1일 8시간씩, 연간 300일을 근무하였다.)",text_only,,0.13,15.6,65.1,156.25,4.0
31.0,산업위생관리기사,2010.0,2,산업위생학개론,3.0,"다음 중 누적외상성 질환(Cumulative Trauma Disorders, CTDs) 또는 근골격계질환(Muscoloskeletal disorders, MSDs) 에 속하는 질환으로 보기 어려운 것은?",text_only,,건초염(Tendosynovitis),스티븐스존슨증후군(Stevens johnson syndrome),손목뼈터널증후군(Carpal tunnel syndrome),기용터널증후군(Guyon tunnel syndrome),2.0
32.0,산업위생관리기사,2010.0,3,산업위생학개론,7.0,다음 중 재해예방의 4원칙에 관한 설명으로 틀린 것은?,text_only,,재해발생과 손실의 발생은 우연적이므로 사고 발생 자체의 방지가 이루어져야 한다.,"재해발생에는 반드시 원인이 있으며, 사고와 원인의 관계는 필연적이다.",재해는 원칙적으로 예방이 불가능하므로 지속적인 교육이 필요하다.,재해예방을 위한 가능한 안전대책은 반드시 존재한다.,3.0
33.0,산업위생관리기사,2011.0,1,산업위생학개론,2.0,다음 중 스트레스에 관한 설명으로 잘못된 것은?,text_only,,스트레스를 지속적으로 받게 되면 인체는 자기조절 능력을 발휘하여 스트레스로부터 벗어난다.,환경의 요구가 개인의 능력 한계를 벗어날 때 발생하는 개인과 환경과의 불균형 상태이다.,스트레스가 아주 없거나 너무 많을 때에는 역기능 스트레스로 작용한다.,위협적인 환경 특성에 대한 개인의 반응이다.,1.0
34.0,산업위생관리기사,2011.0,1,산업위생학개론,7.0,다음 중 산업피로에 관한 설명으로 틀린 것은?,text_only,,피로는 비가역적 생체의 변화로 건강장해의 일종이다.,정신적 피로와 육체적 피로는 보통 구별하기 어렵다.,국소피로와 전신피로는 피로현상이 나타난 부위가 어느 정도인가를 상대적으로 표현한 것이다.,곤비는 피로의 축적상태로 단기간에 회복될 수 없다.,1.0
35.0,산업위생관리기사,2011.0,2,산업위생학개론,5.0,다음 중 산소부채(oxygen debt)에 관한 설명으로 틀린 것은?,text_only,,작업대사량의 증가와 관계없이 산소소비량은 계속 증가한다.,산소부채 현상은 작업이 시작되면서 발생한다.,작업이 끝난 후에는 산소부채의 보상현상이 발생한다.,작업강도에 따라 필요한 산소요구량과 산소공급량의 차이에 의하여 산소부채 현상이 발생한다.,1.0
36.0,산업위생관리기사,2011.0,3,산업위생학개론,15.0,산업위생의 정의에 나타난 산업위생의 접근 원칙 4가지 중 평가(evaluation)에 포함되지 않는 것은?,text_only,,시료의 채취와 분석,예비조사의 목적과 범위 결정,노출정도를 노출기준과 통계적인 근거로 비교하여 판정,"물리적, 화학적, 생물학적, 인간공학적 유해인자 목록 작성",4.0
37.0,산업위생관리기사,2012.0,1,산업위생학개론,3.0,다음 중 충격소음의 강도가 130dB(A)일 때 1일 노출회수의 기준으로 옳은 것은?,text_only,,50,100,500,1000,4.0
38.0,산업위생관리기사,2012.0,1,산업위생학개론,16.0,다음 중 산업위생학의 정의로 가장 적절한 것은?,text_only,,"근로자의 건강증진, 질병의 예방과 진료, 재활을 연구하는 학문",근로자의 건강과 쾌적한 작업환경을 위해 공학적으로 연구하는 학문,"인간과 직업, 기계, 환경, 노동 등의 관계를 과학적으로 연구하는 학문",근로자의 건강과 간호를 연구하는 학문,2.0
39.0,산업위생관리기사,2012.0,2,산업위생학개론,1.0,다음 중 작업환경 개선을 위한 인체측정에 있어 구조적 인체치수에 해당하지 않는 것은?,text_only,,팔길이,앉은키,눈높이,악력,4.0
40.0,산업위생관리기사,2012.0,3,산업위생학개론,19.0,다음 중 정상작업역에 대한 설명으로 옳은 것은?,text_only,,두 다리를 뻗어 닿는 범위이다.,손목이 닿을 수 있는 범위이다.,전박(前膊)과 손으로 조작할 수 있는 범위이다.,상지(上肢)와 하지(下肢)를 곧게 뻗어 닿는 범위이다.,3.0
41.0,산업위생관리기사,2013.0,1,산업위생학개론,10.0,산업안전보건법령에 따라 작업환경 측정방법에 있어 작업근로자수가 100명을 초과하는 경우 최대 시료채취 근로자수는 몇 명으로 조정할 수 있는가?,text_only,O,10명,15명,20명,50명,3.0
42.0,산업위생관리기사,2013.0,1,산업위생학개론,14.0,작업적성검사 중 생리적 기능검사라고 볼 수 없는 것은?,text_only,,감각기능검사,체력검사,심폐기능검사,지각동작검사,4.0
43.0,산업위생관리기사,2013.0,2,산업위생학개론,10.0,다음 중 영양소의 작용과 그 작용에 관여하는 주된 영양소의 종류를 잘못 연결한 것은?,text_only,,"체내에서 산화 연소하여 에너지를 공급하는 것 → 탄수화물, 지방질 및 단백질","몸의 구성성분을 보급하고 영양소의 체내 흡수기능을 조절하는 것 → 탄수화물, 유기질, 물","체내조직을 구성하고, 분해 소비되는 물질의 공급원이 되는 것 → 단백질, 무기질, 물","여러 영양소의 영양적 작용의 매개가 되고 생활기능을 조절하는 것 → 비타민, 무기질, 물",2.0
44.0,산업위생관리기사,2013.0,3,산업위생학개론,10.0,다음 중 전신피로에 관한 설명으로 틀린 것은?,text_only,,훈련받은 자와 그러지 않은 자의 근육내 글리코겐 농도는 차이를 보인다.,작업강도가 증가하면 근육내 글리코겐량이 비례적으로 증가되어 근육피로가 발생된다.,"작업강도가 높을수록 혈중 포도당농도는 급속히 저하하며, 이에 따라 피로감이 빨리 온다.",작업대사량이 증가하면 산소소비량도 비례하여 계속 증가한 작업대사량이 일정한계를 넘으면 산소 소비량은 증가하지 않는다.,2.0
45.0,산업위생관리기사,2014.0,1,산업위생학개론,2.0,"다음 [표]를 이용하여 산출한 권장무게한계(RWL)는 약 얼마인가?(단, 개정된 NIOSH의 들기작업 권고기준에 따른다.)\n\n| 계수구분 | 값 |\n|---------|----|\n| 수평계수 | 0.5 |\n| 수직계수 | 0.955 |\n| 거리계수 | 0.91 |\n| 비대칭계수 | 1 |\n| 빈도계수 | 0.45 |\n| 커플링계수 | 0.95 |",text_only,,4.27kg,8.55kg,12.82kg,21.36kg,1.0
46.0,산업위생관리기사,2014.0,1,산업위생학개론,15.0,다음 중 주요 실내 오염물질의 발생원으로 가장 보기 어려운 것은?,text_only,,호흡,흡연,연소기기,자외선,4.0
47.0,산업위생관리기사,2014.0,2,산업위생학개론,11.0,다음 중 역사상 최초로 기록된 직업병은 무엇인가?,text_only,,규폐증,폐질환,음낭암,납중독,4.0
48.0,산업위생관리기사,2014.0,3,산업위생학개론,4.0,"50명의 근로자가 사업장에서 1년 동안에 6명의 부상자가 발생하였고 총 휴업일수가 219일이라면 근로손실일수와 강도율은 각각 얼마가 되겠는가? (단, 연간근로시간수는 120000시간이다.)",text_only,,"근로손실일수 : 180일, 강도율 : 1.5일","근로손실일수 : 190일, 강도율 : 1.5일","근로손실일수 : 180일, 강도율 : 2.5일","근로손실일수 : 190일, 강도율 : 2.5일",1.0
49.0,산업위생관리기사,2015.0,1,산업위생학개론,9.0,다음 중 사고예방대책의 기본원리가 다음과 같을 때 각 단계를 순서대로 올바르게 나열한 것은?\n\nⓐ 분석평가\nⓑ 시정책의 적용\nⓒ 안전관리 조직\nⓓ 시정책의 선정\nⓔ 사실의 발견,text_only,,ⓒ→ⓔ→ⓐ→ⓓ→ⓑ,ⓒ→ⓔ→ⓓ→ⓑ→ⓐ,ⓔ→ⓒ→ⓓ→ⓑ→ⓐ,ⓔ→ⓓ→ⓒ→ⓑ→ⓐ,1.0
50.0,산업위생관리기사,2015.0,1,산업위생학개론,17.0,다음 중 영국의 외과의사 Pott에 의하여 최초로 발견된 직업성 암은?,text_only,,음낭암,비암,폐암,간암,1.0
51.0,산업위생관리기사,2023.0,2,산업위생학개론,15.0,다음 중 산업안전보건법상 산업재해의 정의로 가장 적합한 것은?,text_only,O,"예기치 않은, 계획되지 않은 사고이며, 상해를 수반하는 경우를 말한다.","작업상의 재해 또는 작업환경으로부터의 무리한 근로의 결과로부터 발생되는 절상, 골절, 염좌 등의 상해를 말한다.",근로자가 업무에 관계되는 건설물 · 설비 · 원재료 · 가스 · 증기 · 분진 등에 의하거나 작업 또는 그 밖의 업무로 인하여 사망 또는 부상하거나 질병에 걸리는 것을 말한다.,"불특정 다수에게 의도하지 않은 사고가 발생하여 신체적, 재산상의 손실이 발생하는 것을 말한다.",3.0
52.0,산업위생관리기사,2015.0,1,산업위생학개론,16.0,"18세기 영국의 외과의사 Pott에 의해 직업성 암(癌)으로 보고되었고, 오늘날 검댕 속에 다환방향족 탄화수소가 원인인 것으로 밝혀진 지병은?",text_only,,폐암,음낭암,방광암,중피종,2.0
53.0,산업위생관리기사,2016.0,1,산업위생학개론,16.0,근로자의 산업안전보건을 위하여 사업주가 취하여야 할 일이 아닌것은?,text_only,O,강렬한 소음을 내는 옥내작업장에 대하여 흡음시설을 설치한다.,내부환기가 되는 갱에서 내연기관이 부족한 기계를 사용하지 않도록 한다.,인체에 해로운 가스의 옥내 작업장에서 공기 중 함유 농도가 보건상 유해한 정도를 초과하지 않도록 조치한다.,"유해물질 취급작업으로 인하여 근로자에게 유해한 작업인 경우 그 원인을 제거하기 위하여 대체물 사용, 작업방법 및 시설의 변경 또는 개선 조치한다.",2.0
54.0,산업위생관리기사,2016.0,1,산업위생학개론,20.0,직업성 피부질환에 대한 설명으로 틀린 것은?,text_only,,대부분은 화학물질에 의한 접촉피부염이다.,접촉피부염의 대부분은 알레르기에 의한 것이다.,정확한 발생빈도와 원인물질의 추정은 거의 불가능하다.,"직업성 피부질환의 간접요인으로는 인종, 연령, 계절 등이 있다.",2.0
55.0,산업위생관리기사,2016.0,2,산업위생학개론,10.0,우리나라의 화학물질의 노출기준에 관한 설명으로 틀린 것은?,text_only,,Skin 이라고 표시된 물질은 피부 자극성을 뜻한다.,발암성 정보물질의 표기 중 1A는 사람에게 충분한 발암성 증거가 있는 물질을 의미한다.,Skin 표시 물질은 점막과 눈 그리고 경피로 흡수되어 전신 영향을 일으킬 수 있는 물질을 말한다.,화학물질이 IARC 등의 발암성 등급과 NTP의 R 등급을 모두 갖는 경우에는 NTP 의 R 등급은 고려하지 아니한다.,1.0
56.0,산업위생관리기사,2016.0,3,산업위생학개론,12.0,"다음은 사고예방대책의 기본 원리 5단계의 내용이다. 순서대로 나열한 것은?\n\n㉠ 조치\n㉡ 분석, 평가\n㉢ 사실의 발견\n㉣ 사정책의 적용\n㉤ 사정방법의 선정",text_only,,㉢→㉡→㉠→㉤→㉣,㉢→㉤→㉡→㉠→㉣,㉠→㉡→㉢→㉤→㉣,㉠→㉢→㉡→㉤→㉣,4.0
57.0,산업위생관리기사,2017.0,1,산업위생학개론,9.0,우리나라 산업위생 역사와 관련된 내용 중 맞는 것은?,text_only,,문송면 - 납 중독 사건,원진레이온 - 이황화 탄소 중독 사건,근로복지공단 - 작업환경측정기관에 대한 정도관리제도 도입,보건복지부 - 산업안전보건법 · 시행령 · 시행 규칙의 제정 및 공포,2.0
58.0,산업위생관리기사,2017.0,1,산업위생학개론,12.0,"각 개인의 육체적 작업 능력(PWC, physical work capacity)을 결정하는 요인이라고 볼 수 없는 것은?",text_only,,대사정도,호흡기계 활동,소화기계 활동,순환기계 활동,3.0
59.0,산업위생관리기사,2017.0,2,산업위생학개론,5.0,산업위생관리에서 중점을 두어야 하는 구체적인 과제로 적합하지 않는 것은?,text_only,,기계·기구의 방호장치 점검 및 적절한 개선,작업근로자의 작업자세와 육체적 부담의 인간공학적 평가,기존 및 신규화학물질의 유해성 평가 및 사용대책의 수립,고령근로자 및 여성근로자의 작업조건과 정신적 조건의 평가,1.0
60.0,산업위생관리기사,2017.0,3,산업위생학개론,15.0,외국의 산업위생역사에 대한 설명 중 인물과 업적이 잘못 연결된 것은?,text_only,,Galen - 구리광산에서 산 증기의 위험성 보고,Georgious Agricola - 저서인 '광물에 관하여'를 남김,Pliny the Elder - 분진방지용 마스크로 동물의 방광사용 권장,"Alice Hamilton - 폐질환의 원인물질을 Hg, S 및 염이라 주장",4.0
61.0,산업위생관리기사,2018.0,1,산업위생학개론,9.0,보건관리자를 반드시 두어야 하는 사업장이 아닌 것은?,text_only,,도금업,축산업,연탄 생산업,축전지(납 포함) 제조업,2.0
62.0,산업위생관리기사,2018.0,1,산업위생학개론,16.0,작업강도에 영향을 미치는 요인으로 틀린 것은?,text_only,,작업밀도가 적다.,대인 접촉이 많다.,열량소비량이 크다.,작업대상의 종류가 많다.,1.0
63.0,산업위생관리기사,2018.0,2,산업위생학개론,20.0,산업안전보건법령상 보건관리자의 자격에 해당하지 않는 사람은?,text_only,O,「의료법」에 따른 의사,「의료법」에 따른 간호사,「국가기술자격법」에 따른 산업안전기사,「산업안전보건법」에 따른 산업보건지도사,3.0
64.0,산업위생관리기사,2018.0,3,산업위생학개론,18.0,여러 기관이나 단체 중에서 산업위생과 관계가 가장 먼 기관은?,text_only,,EPA,ACGIH,BOHS,KOSHA,1.0
65.0,산업위생관리기사,2019.0,1,산업위생학개론,1.0,신체적 결함과 이에 따른 부적합 작업을 짝지은 것으로 틀린 것은?,text_only,,심계항진 - 정밀작업,간기능 장해 - 화학공업,빈혈증 - 유기용제 취급작업,당뇨증 - 외상받기 쉬운 작업,1.0
66.0,산업위생관리기사,2019.0,1,산업위생학개론,15.0,산업피로의 대책으로 적합하지 않은 것은?,text_only,,불필요한 동작을 피하고 에너지 소모를 적게 한다.,작업과정에 따라 적절한 휴식시간을 가져야 한다.,작업능력에는 개인별 차이가 있으므로 각 개인마다 작업량을 조정해야 한다.,동적인 작업은 피로를 더하게 하므로 가능한 한 정적인 작업으로 전환한다.,4.0
67.0,산업위생관리기사,2019.0,2,산업위생학개론,16.0,심리학적 적성검사와 가장 거리가 먼 것은?,text_only,,감각기능검사,지능검사,지각동작검사,인성검사,1.0
68.0,산업위생관리기사,2019.0,3,산업위생학개론,16.0,다음 중 ACGIH에서 권고하는 TLV-TWA(시간 가중 평균치)에 대한 근로자 노출의 상한치와 노출가능시간의 연결로 옳은 것은?,text_only,,TLV-TWA의 3배 : 30분 이하,TLV-TWA의 3배 : 60분 이하,TLV-TWA의 5배 : 5분 이하,TLV-TWA의 5배 : 15분 이하,1.0
69.0,산업위생관리기사,2020.0,"1,2",산업위생학개론,8.0,산업피로(industrial fatigue)에 관한 설명으로 옳지 않은 것은?,text_only,,"산업피로의 유발원인으로는 작업부하, 작업환경조건, 생활조건 등이 있다.",작업과정 사이에 짧은 휴식보다 장시간의 휴식시간을 삽입하여 산업피로를 경감시킨다.,산업피로의 검사방법은 한 가지 방법으로 판정하기는 어려우므로 여러 가지 검사를 종합하여 결정한다.,"산업피로란 일반적으로 작업현장에서 고단하다는 주관적인 느낌이 있으면서, 작업능률이 떨어지고, 생체기능의 변화를 가져오는 현상이라고 정의할 수 있다.",2.0
70.0,산업위생관리기사,2020.0,"1,2",산업위생학개론,9.0,산업안전보건법령상 사무실 공기의 시료채취 방법이 잘못 연결된 것은?,text_only,O,일산화탄소 - 전기화학검출기에 의한 채취,이산화질소 - 캐니슈(canister)를 이용한 채취,이산화탄소 - 비분산적외선검출기에 의한 채취,총부유세균 - 충돌법을 이용한 부유세균채취기로 채취,2.0
71.0,산업위생관리기사,2020.0,3,산업위생학개론,17.0,"생체와 환경과의 열교환 방정식을 올바르게 나타낸 것은? (단, $\\Delta S$: 생체 내 열용량의 변화, M: 대사에 의한 열 생산, E: 수분증발에 의한 열 방산, R: 복사에 의한 열 득실, C: 대류 및 전도에 의한 열 득실이다.)",text_only,,$\\Delta S = M + E \\pm R - C$,$\\Delta S = M - E \\pm R \\pm C$,$\\Delta S = R + M + C + E$,$\\Delta S = C - M - R - E$,2.0
72.0,산업위생관리기사,2020.0,4,산업위생학개론,18.0,산업 스트레스의 반응에 따른 심리적 결과에 해당되지 않는 것은?,text_only,,가정문제,수면방해,돌발적사고,성(性)적 역기능,3.0
73.0,산업위생관리기사,2021.0,1,산업위생학개론,17.0,"온도 25℃, 1기압 하에서 분당 100mL씩 60분 동안 채취한 공기 중에서 벤젠이 3mg 검출되었다면 이 때 검출된 벤젠은 약 몇 ppm인가? (단, 벤젠의 분자량은 78이다.)",text_only,,11,15.7,111,157,4.0
